participantId,group,instructionCondition,trialNumber,block,condition,userChoice,outcome,reactionTime,isCorrect,hidden_state,false_feedback
3162592a,B,Instructions,40,block2,medium_noise,0,win,583,1,0,0
3162592a,B,Instructions,41,block2,medium_noise,0,win,487,1,0,0
3162592a,B,Instructions,42,block2,medium_noise,0,win,926,1,0,0
3162592a,B,Instructions,43,block2,medium_noise,0,win,1463,1,0,0
3162592a,B,Instructions,44,block2,medium_noise,0,win,760,1,0,0
3162592a,B,Instructions,45,block2,medium_noise,0,loss,209,1,0,1
3162592a,B,Instructions,46,block2,medium_noise,0,win,601,1,0,0
3162592a,B,Instructions,47,block2,medium_noise,0,loss,181,0,1,0
3162592a,B,Instructions,48,block2,medium_noise,1,win,33,1,1,0
3162592a,B,Instructions,49,block2,medium_noise,1,win,165,1,1,0
3162592a,B,Instructions,50,block2,medium_noise,1,win,468,1,1,0
